GENDER,CATEGORY,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,HEIGHT INCH,HEIGHT CM,WAIST IN,WAIST CM,INSEAM INCH,INSEAM CM,SIZE
MEN,TRAINING,2031C687_001,CAｽｳｴﾂﾄｸﾙｰﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,2031C688_001,CAｽｳｴﾂﾄﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C685_001,CAﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,PBK/Mﾌﾞﾙｰ,2031C688_001,CAｽｳｴﾂﾄﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C685_100,CAﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,Bﾎﾜｲﾄ,2031C688_001,CAｽｳｴﾂﾄﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C685_401,CAﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾋﾟｰｺｰﾄ/BWH,2031C688_001,CAｽｳｴﾂﾄﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C689_001,CAﾌﾘｰｽPOﾌｰﾃﾞｲｰ,Pﾌﾞﾗﾂｸ,2031C690_001,CAﾌﾘｰｽﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C690_001,CAﾌﾘｰｽﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,2031C689_001,CAﾌﾘｰｽPOﾌｰﾃﾞｲｰ,Pﾌﾞﾗﾂｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C696_001,ﾊｲﾌﾞﾘﾂﾄﾞFZﾌｰﾃﾞｲｰ,Pﾌﾞﾗﾂｸ,2031C697_001,ﾊｲﾌﾞﾘﾂﾄﾞｽｳｴﾂﾄﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,,,,1201A297_001,GEL-QUANTUM 180,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C697_001,ﾊｲﾌﾞﾘﾂﾄﾞｽｳｴﾂﾄﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,2031C696_001,ﾊｲﾌﾞﾘﾂﾄﾞFZﾌｰﾃﾞｲｰ,Pﾌﾞﾗﾂｸ,,,,1201A297_001,GEL-QUANTUM 180,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C699_001,ﾊｲﾌﾞﾘﾂﾄﾞﾌﾘｰｽﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ/PBK,2031C700_001,ﾘﾊﾞｰｼﾌﾞﾙﾌﾘｰｽJKT,Pﾌﾞﾗﾂｸ,,,,1201A297_001,GEL-QUANTUM 180,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C700_001,ﾘﾊﾞｰｼﾌﾞﾙﾌﾘｰｽJKT,Pﾌﾞﾗﾂｸ,2031C699_001,ﾊｲﾌﾞﾘﾂﾄﾞﾌﾘｰｽﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ/PBK,,,,1201A297_001,GEL-QUANTUM 180,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C713_001,ｽｳｴﾂﾄﾊﾟﾝﾂ(ｽﾘﾑｽｿﾎﾞﾀﾝ),Pﾌﾞﾗﾂｸ,0,#N/A,#N/A,,,,1201A297_001,GEL-QUANTUM 180,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C722_400,ｽｳｴﾂﾄｸﾙｰﾄﾂﾌﾟ,ﾋﾟｰｺｰﾄ,2031C723_400,ｽｳｴﾂﾄﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄ,,,,1201A297_001,GEL-QUANTUM 180,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
