GENDER,CATEGORY,SKU,NAME,COLOR NAME,HEIGHT INCH,HEIGHT CM,WAIST IN,WAIST CM,INSEAM INCH,INSEAM CM,SIZE,,
MEN,TRAINING,2031C723_400,ｽｳｴﾂﾄﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,T&F,2091A437_001,TRACK ELITE ｼﾞﾔｹﾂﾄ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A438_001,TRACK ELITE ﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A439_404,TRACK ELITE LSﾄﾂﾌﾟ,ｽﾄｰﾑﾌﾞﾙｰ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A439_001,TRACK ELITE LSﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A440_001,TRACK ELITE ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A448_003,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/SB,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A447_404,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｽﾄｰﾑﾌﾞﾙｰ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A434_001,TRACK ELITE SSﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A434_403,TRACK ELITE SSﾄﾂﾌﾟ,ﾓﾅｺﾌﾞﾙｰ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A516_402,ﾌﾟﾘﾝﾄ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｱｼﾂｸｽﾌﾞﾙｰ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A450_400,ﾌﾟﾘﾝﾄ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾋﾟｰｺｰﾄ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A447_001,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A447_750,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｸﾞﾛｰｲｴﾛｰ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A448_400,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,ﾋﾟｰｺｰﾄ/GY,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A449_750,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾌﾗﾂｼﾕｲｴﾛｰ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A449_001,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/FGR,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A449_003,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/BWH,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A451_001,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/BWH,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A451_003,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/ABL,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A451_002,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/FC,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A445_404,ｶｽﾀﾑ ｼﾞﾔｹﾂﾄ,ｽﾄｰﾑﾌﾞﾙｰﾓｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A445_001,ｶｽﾀﾑ ｼﾞﾔｹﾂﾄ,Pﾌﾞﾗﾂｸﾓｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A446_001,ｶｽﾀﾑ ﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A443_700,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾌﾗﾂｼﾕｺｰﾗﾙ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A443_001,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A444_001,ﾆﾂﾄﾄﾗﾝｸｽ,Pﾌﾞﾗﾂｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A450_600,ﾌﾟﾘﾝﾄ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｸﾗｼﾂｸﾚﾂﾄﾞ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A516_001,ﾌﾟﾘﾝﾄ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/FC,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A447_700,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾌﾗﾂｼﾕｺｰﾗﾙ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A448_002,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/FC,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A449_002,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/FC,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A441_700,TRACK ELITE SSﾄﾂﾌﾟ,Fｺｰﾗﾙﾓｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
MEN,T&F,2091A441_403,TRACK ELITE SSﾄﾂﾌﾟ,ﾓﾅｺﾌﾞﾙｰﾓｸ,6'1'',185cm,29'',74cm,32'',81cm,Large,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
