PRODUCT_GENDER,STYLE_NUMBER,PRODUCT_URL,PRODUCT_NAME_C,PRODUCT_NAME_CLEAN,PRODUCT_COLOR,PRODUCT_WIDTH,ORDERS,PRODUCT_URL_NARROW,PRODUCT_URL_STANDARD,PRODUCT_URL_WIDE,PRODUCT_URL_EXTRAWIDE
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1816,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Male,1011A767,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-100.html,GEL-KAYANO 27,GEL-KAYANO 27,WHITE/PEACOAT,Standard,1784,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-100.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-001.html
Male,1011B189,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1011B189-001.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1703,,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1011B189-001.html,https://www.asics.com/us/en-us/gel-kayano-28--2e/p/ANA_1011B188-021.html,https://www.asics.com/us/en-us/gel-kayano-28-4e/p/ANA_1011B191-005.html
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,GEL-KAYANO 28,GEL-KAYANO 28,PIEDMONT GREY/DEEP PLUM,Standard,1691,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-001.html,GEL-KAYANO 27,GEL-KAYANO 27,,Standard,1671,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-020.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-001.html,GEL-NIMBUS 23,GEL-NIMBUS 23,BLACK/WHITE,Standard,1638,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-001.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-001.html,
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-600.html,GEL-KAYANO 28,GEL-KAYANO 28,FUCHSIA RED/PINK GLO,Standard,1635,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-600.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Male,1011A767,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-002.html,GEL-KAYANO 27,GEL-KAYANO 27,BLACK/BLACK,Standard,1629,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-002.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-002.html
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-300.html,GEL-KAYANO 27,GEL-KAYANO 27,TECHNO CYAN/SUNRISE RED,Standard,1513,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-300.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Female,1012A591,https://www.asics.com/us/en-us/gt-2000-8/p/ANA_1012A591-701.html,GT-2000 8,GT-2000 8,WATERSHED ROSE/ROSE G OLD,Standard,1505,https://www.asics.com/us/en-us/gt-2000-8-2a/p/ANA_1012A594-002.html,https://www.asics.com/us/en-us/gt-2000-8/p/ANA_1012A591-701.html,https://www.asics.com/us/en-us/gt-2000-8-d/p/ANA_1012A592-002.html,
